date,nodes,pos_edges_cos,neg_edges_cos,pos_edges_ssa,neg_edges_ssa
2024-08-27,10,98,0,100,0
2024-08-28,10,98,0,100,0
2024-08-29,10,96,0,100,0
2024-08-30,10,92,0,100,0
2024-09-03,10,84,0,100,0
2024-09-04,10,76,0,100,0
2024-09-05,10,48,4,72,18
2024-09-06,10,42,16,66,36
2024-09-09,10,48,22,70,40
2024-09-10,10,48,32,64,44
2024-09-11,10,46,36,58,42
2024-09-12,10,48,38,58,42
2024-09-13,10,50,38,58,42
2024-09-16,10,50,38,58,42
2024-09-17,10,48,36,58,42
2024-09-18,10,46,36,58,42
2024-09-19,10,50,34,58,42
2024-09-20,10,50,34,66,40
2024-09-23,10,50,32,66,40
2024-09-24,10,54,32,66,40
2024-09-25,10,58,32,68,38
2024-09-26,10,58,28,70,38
2024-09-27,10,62,24,76,38
2024-09-30,10,64,22,78,36
2024-10-01,10,64,16,82,36
2024-10-02,10,64,16,82,36
2024-10-03,10,64,14,84,34
2024-10-04,10,70,10,90,28
2024-10-07,10,60,12,88,38
2024-10-08,10,62,6,94,22
2024-10-09,10,58,6,90,18
2024-10-10,10,54,4,92,18
2024-10-11,10,56,4,92,16
2024-10-14,10,56,2,94,8
2024-10-15,10,66,4,94,18
2024-10-16,10,66,6,94,24
2024-10-17,10,58,8,92,30
2024-10-18,10,54,10,90,34
2024-10-21,10,52,18,80,40
2024-10-22,10,46,18,70,40
2024-10-23,10,44,20,62,42
2024-10-24,10,42,28,60,52
2024-10-25,10,40,32,58,54
2024-10-28,10,40,34,58,54
2024-10-29,10,42,32,56,52
2024-10-30,10,42,34,66,58
2024-10-31,10,42,34,66,58
2024-11-01,10,40,34,64,60
2024-11-04,10,40,34,64,58
2024-11-05,10,38,32,64,60
2024-11-06,10,42,36,64,58
2024-11-07,10,46,34,66,50
2024-11-08,10,46,34,66,52
2024-11-11,10,50,32,68,50
2024-11-12,10,48,34,66,48
2024-11-13,10,52,32,68,44
2024-11-14,10,52,36,62,44
2024-11-15,10,54,40,60,42
2024-11-18,10,52,42,58,42
2024-11-19,10,52,42,58,42
2024-11-20,10,52,42,58,42
2024-11-21,10,52,42,58,42
2024-11-22,10,52,42,58,42
2024-11-25,10,52,42,58,42
2024-11-26,10,52,42,58,42
2024-11-27,10,50,38,58,42
2024-11-29,10,48,38,58,42
2024-12-02,10,50,34,64,46
2024-12-03,10,56,34,66,42
2024-12-04,10,54,34,66,44
2024-12-05,10,52,34,66,46
2024-12-06,10,46,30,68,48
2024-12-09,10,44,32,68,56
2024-12-10,10,48,36,64,50
2024-12-11,10,46,40,58,48
2024-12-12,10,46,40,60,50
2024-12-13,10,46,40,60,50
2024-12-16,10,46,40,60,52
2024-12-17,10,46,42,58,54
2024-12-18,10,46,42,58,54
2024-12-19,10,46,42,58,52
2024-12-20,10,46,42,58,52
2024-12-23,10,46,42,58,52
2024-12-24,10,46,42,52,48
2024-12-26,10,46,42,52,48
2024-12-27,10,46,42,52,48
2024-12-30,10,48,42,52,48
2024-12-31,10,50,42,52,48
2025-01-02,10,50,40,52,48
2025-01-03,10,50,42,52,48
2025-01-06,10,50,40,52,48
2025-01-07,10,46,42,52,48
2025-01-08,10,46,42,54,54
2025-01-10,10,42,38,58,56
2025-01-13,10,40,36,60,58
2025-01-14,10,38,36,60,60
2025-01-15,10,38,36,60,60
2025-01-16,10,34,34,62,64
2025-01-17,10,36,34,64,62
2025-01-21,10,36,32,66,60
2025-01-22,10,42,28,72,56
2025-01-23,10,46,36,64,54
2025-01-24,10,46,36,64,54
2025-01-27,10,40,36,62,60
2025-01-28,10,42,32,66,58
2025-01-29,10,42,34,66,58
2025-01-30,10,42,36,64,58
2025-01-31,10,42,38,62,58
2025-02-03,10,40,34,66,60
2025-02-04,10,42,36,64,58
2025-02-05,10,44,34,66,54
2025-02-06,10,46,36,64,54
2025-02-07,10,46,32,68,52
2025-02-10,10,46,26,74,52
2025-02-11,10,38,24,76,52
2025-02-12,10,40,28,70,58
2025-02-13,10,48,30,70,50
2025-02-14,10,50,28,72,50
2025-02-18,10,50,32,68,50
2025-02-19,10,46,32,68,50
2025-02-20,10,44,36,64,54
2025-02-21,10,50,38,62,50
2025-02-24,10,50,36,64,50
2025-02-25,10,52,38,62,48
2025-02-26,10,54,36,58,42
2025-02-27,10,56,36,58,42
2025-02-28,10,58,36,58,42
2025-03-03,10,60,34,66,40
2025-03-04,10,60,32,68,40
2025-03-05,10,60,28,72,40
2025-03-06,10,64,28,72,36
