date,n_nodes,cos_pos,ssa_pos,pred_pos,overlap_cos_pred_pos,overlap_ssa_pred_pos,overlap_cos_ssa_pos,cos_neg,ssa_neg,pred_neg,overlap_cos_pred_neg,overlap_ssa_pred_neg,overlap_cos_ssa_neg,ssa_pos_neg_overlap,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-12,217,18283,37915,337,159,281,18283,7140,26042,23099,3531,12853,7140,16902,8874,39
2020-05-13,217,18345,37731,737,210,616,18345,7324,26066,22699,3593,12560,7324,16730,8854,69
2020-05-14,217,18327,37433,816,251,616,18327,7384,26144,22620,3603,12561,7384,16502,8804,89
2020-05-15,217,18259,37219,1045,390,843,18259,7594,26460,22391,3711,12625,7594,16596,8631,86
2020-05-18,217,18001,37067,768,237,627,18001,7806,26684,22668,3833,12861,7806,16662,8655,70
2020-05-19,217,17925,36943,477,210,380,17925,7736,26880,22959,3798,13188,7736,16744,8644,70
2020-05-20,217,17583,36597,515,245,432,17583,7962,27124,22921,3928,13324,7962,16644,8438,53
2020-05-21,217,17221,36267,505,203,416,17221,8268,27516,22931,4070,13475,8268,16696,8299,64
2020-05-22,217,17455,36987,2351,892,2044,17455,7496,27198,21085,3531,12264,7496,17098,7727,217
2020-05-25,217,18017,38687,7118,2925,6357,18017,6338,26932,16318,2611,9600,6338,18530,5975,558
2020-05-26,217,18325,39259,5451,2600,5134,18325,6120,26768,17985,2817,10756,6120,18938,6454,243
2020-05-27,217,18521,39427,4117,2028,3888,18521,6154,26598,19319,2895,11321,6154,18966,7124,182
2020-05-28,217,18651,39031,3163,1718,3027,18651,6126,26212,20273,2977,11764,6126,18196,7499,86
2020-05-29,217,19011,38879,3615,2076,3433,19011,6316,25824,19821,3047,11474,6316,17642,7321,111
2020-06-01,217,19359,38749,1530,603,1288,19359,6180,25056,21906,2944,11700,6180,16732,8968,146
2020-06-02,217,19817,39861,989,327,815,19817,5664,25064,22447,2697,11898,5664,17842,9473,135
2020-06-03,217,19887,40933,530,177,442,19887,5118,25080,22906,2495,12227,5118,18932,9658,64
2020-06-04,217,19725,41321,353,136,325,19725,4894,25120,23083,2433,12361,4894,19358,9618,14
2020-06-05,217,19053,41079,230,66,216,19053,4912,25712,23206,2449,12715,4912,19710,9352,7
2020-06-08,217,18283,40949,691,245,563,18283,5028,26338,22745,2403,12752,5028,20202,8788,111
2020-06-09,217,18321,40885,459,124,414,18321,5032,26304,22977,2485,12868,5032,20102,8928,31
2020-06-10,217,18547,40521,381,123,290,18547,5324,26102,23055,2592,12811,5324,19544,9042,70
2020-06-11,217,18427,39987,758,223,629,18427,5518,25802,22678,2691,12471,5518,18710,8882,68
2020-06-12,217,18253,39547,1378,661,1244,18253,5546,26228,22058,2707,12520,5546,18712,8357,66
2020-06-15,217,17973,39839,1455,776,1334,17973,5450,26620,21981,2662,12720,5450,19376,8102,63
2020-06-16,217,17645,39429,1094,530,965,17645,5586,26912,22342,2713,12934,5586,19290,8184,80
2020-06-17,217,17535,39813,696,331,634,17535,5656,27232,22740,2786,13279,5656,19992,8328,42
2020-06-18,217,17523,40099,894,298,768,17523,5428,26950,22542,2636,12956,5428,20000,8355,78
2020-06-19,217,17425,40289,935,239,699,17425,5158,26878,22501,2461,12838,5158,20122,8365,118
2020-06-22,217,17081,40221,332,91,248,17081,5018,26906,23104,2448,13221,5018,20052,8341,61
2020-06-23,217,16935,39803,207,85,177,16935,5084,26760,23229,2522,13271,5084,19488,8274,20
2020-06-24,217,17355,39609,598,182,523,17355,5068,26016,22838,2491,12622,5068,18544,8387,43
2020-06-29,217,17327,38939,521,157,409,17327,5398,25936,22915,2651,12646,5398,17806,8398,48
2020-06-30,217,17509,38037,830,251,691,17509,6066,25870,22606,2968,12454,6066,16852,8395,65
2020-07-01,217,18275,38593,931,139,704,18275,5688,25232,22505,2708,11926,5688,16760,8890,136
2020-07-02,217,19971,41191,566,109,358,19971,4382,23828,22870,2007,11467,4382,17938,9768,184
2020-07-03,217,23083,43517,397,85,294,23083,2976,21298,23039,1389,10349,2976,17728,11348,99
2020-07-06,217,27193,45185,366,34,208,27193,1722,18124,23070,724,8731,1722,16220,13454,137
2020-07-07,217,30999,45811,300,95,219,30999,1254,14864,23136,546,7230,1254,13586,15296,81
2020-07-08,217,33465,45987,12,1,9,33465,1084,12830,23424,539,6404,1084,11728,16623,3
2020-07-09,217,35431,46185,13,6,11,35431,900,11298,23423,448,5643,900,10394,17601,2
2020-07-10,217,36471,46307,21,13,20,36471,778,10268,23415,388,5127,778,9486,18114,1
2020-07-13,217,37347,46417,88,9,52,37347,666,9432,23348,297,4639,666,8760,18556,36
2020-07-14,217,38089,46513,52,38,52,38089,570,8760,23384,285,4370,570,8184,18898,0
2020-07-15,217,38673,46591,338,206,316,38673,488,8218,23098,222,3981,488,7720,19022,22
2020-07-16,217,39015,46621,346,295,340,39015,450,7888,23090,220,3894,450,7420,19104,5
2020-07-17,217,39357,46625,280,236,275,39357,442,7566,23156,218,3751,442,7102,19334,3
2020-07-20,217,39625,46657,359,304,356,39625,426,7314,23077,210,3604,426,6882,19400,3
2020-07-21,217,39859,46629,123,92,120,39859,430,7060,23313,212,3499,430,6600,19729,3
2020-07-22,217,40103,46657,295,236,291,40103,410,6720,23141,201,3303,410,6288,19707,4
2020-07-23,217,40759,46727,132,108,132,40759,344,6078,23304,172,3017,344,5716,20163,0
2020-07-24,217,41297,46767,148,114,147,41297,282,5496,23288,140,2717,282,5174,20426,1
2020-07-27,217,42001,46879,2264,1987,2260,42001,204,4838,21172,98,2162,204,4628,18905,4
2020-07-28,217,42713,46955,2505,2222,2491,42713,128,4004,20931,53,1732,128,3870,19026,11
2020-07-29,217,43041,46973,595,573,595,43041,112,3686,22841,56,1823,112,3570,20839,0
2020-07-30,217,42725,46963,386,368,386,42725,122,4058,23050,61,2011,122,3932,20886,0
2020-07-31,217,42377,46749,360,342,359,42377,338,4516,23076,168,2240,338,4176,20738,1
2020-08-03,217,41517,46429,426,366,426,41517,574,5384,23010,287,2638,574,4726,20284,0
2020-08-04,217,40281,45833,763,543,677,40281,1224,5522,22673,526,2579,1224,4266,19489,86
2020-08-05,217,38663,45713,104,82,103,38663,1302,6834,23332,650,3399,1302,5460,19141,1
2020-08-06,217,35839,45601,170,130,170,35839,1382,9740,23266,691,4834,1382,8252,17681,0
2020-08-07,217,32241,45439,392,315,390,32241,1520,13476,23044,758,6671,1520,11826,15697,2
2020-08-10,217,26895,44975,1287,951,1269,26895,1860,18622,22149,914,9008,1860,16508,12388,16
2020-08-11,217,20635,43221,1311,897,1296,20635,3268,24526,22125,1620,11906,3268,20658,9312,14
2020-08-12,217,16271,39363,1662,1011,1592,16271,6200,28726,21774,3045,13813,6200,21000,7016,55
2020-08-13,217,15173,37099,3221,1674,3101,15173,7758,29950,20215,3795,13608,7758,19960,5804,84
2020-08-14,217,15039,36743,2325,1344,2241,15039,8080,30214,21111,3987,14224,8080,19870,6067,53
2020-08-17,217,14805,37249,713,250,558,14805,7286,30242,22723,3526,14687,7286,20402,7044,117
2020-08-18,217,15051,38257,359,70,240,15051,6660,30032,23077,3245,14735,6660,21206,7347,85
2020-08-19,217,14953,37947,453,140,382,14953,6848,30084,22983,3373,14749,6848,20948,7228,51
2020-08-20,217,14731,37595,1623,787,1485,14731,7112,30408,21813,3468,14472,7112,20918,6470,88
2020-08-21,217,14663,37059,1096,491,949,14663,7254,30410,22340,3530,14644,7254,20382,6732,97
2020-08-24,217,14479,36669,595,181,454,14479,7498,30266,22841,3652,14739,7498,19852,6950,97
2020-08-25,217,14091,36035,704,253,575,14091,7564,30152,22732,3742,14658,7564,19098,6684,40
2020-08-26,217,13775,36603,1173,471,1061,13775,7368,30724,22263,3650,14721,7368,20238,6308,34
2020-08-27,217,13645,37059,2909,1171,2716,13645,7120,30974,20527,3487,13851,7120,20944,5543,73
2020-08-28,217,13585,37509,1241,589,1168,13585,7170,31180,22195,3547,15007,7170,21600,6095,38
2020-08-31,217,13703,37629,752,350,667,13703,7210,31108,22684,3547,15188,7210,21648,6393,58
2020-09-01,217,13499,37247,1013,552,973,13499,7618,31116,22423,3786,15134,7618,21274,6089,23
2020-09-02,217,13301,36959,669,341,637,13301,7936,31368,22767,3947,15383,7936,21238,6201,21
2020-09-03,217,13533,36273,1272,631,1141,13533,8460,30920,22164,4126,14894,8460,20104,6027,104
2020-09-04,217,13987,36085,3249,1724,3070,13987,8616,31022,20187,4211,14130,8616,20018,5161,97
2020-09-07,217,14275,36297,3111,1717,2937,14275,8518,30888,20325,4156,14156,8518,20098,5312,103
2020-09-08,217,14417,36621,3927,1966,3743,14417,8306,30730,19509,4038,13549,8306,20262,5134,115
2020-09-09,217,14975,37345,5450,2668,5173,14975,7650,30064,17986,3636,12435,7650,20320,4711,189
2020-09-10,217,15705,37867,5368,2952,5200,15705,7176,29406,18068,3475,12482,7176,20184,4792,113
2020-09-11,217,16545,38363,7408,4170,7186,16545,6760,28436,16028,3241,11248,6760,19710,3994,139
2020-09-14,217,16783,38071,5039,3304,4961,16783,7040,28014,18397,3479,12482,7040,19004,4979,41
2020-09-15,217,16487,37087,4078,2574,3910,16487,7784,28092,19358,3768,12681,7784,18180,5561,124
2020-09-16,217,16499,36513,2674,1781,2587,16499,8362,28098,20762,4126,13291,8362,17544,6360,55
2020-09-17,217,16559,35847,2104,1373,2019,16559,8620,27924,21332,4253,13315,8620,16704,6798,57
2020-09-18,217,16493,35765,1090,368,806,16493,8470,27836,22346,4038,13269,8470,16522,7770,197
2020-09-21,217,16583,36451,433,184,372,16583,8228,28084,23003,4069,13811,8228,17456,7999,45
2020-09-22,217,16647,36465,802,346,660,16647,8328,27954,22634,4058,13583,8328,17374,7869,106
2020-09-23,217,16759,36583,781,313,637,16759,8162,27814,22655,3978,13525,8162,17310,7958,103
2020-09-24,217,16883,37243,1851,805,1596,16883,7450,27728,21585,3604,12981,7450,17886,7528,121
2020-09-25,217,17051,38035,5040,2255,4464,17051,6848,27422,18396,3105,11202,6848,18370,6162,319
2020-09-28,217,17117,38477,5048,2458,4662,17117,6668,27592,18388,3103,11437,6668,18982,5992,231
2020-09-29,217,17307,38649,3774,2004,3558,17307,6444,27062,19662,3074,11946,6444,18624,6541,148
2020-09-30,217,17567,38381,2678,1636,2579,17567,6604,26996,20758,3225,12527,6604,18288,7039,77
2020-10-09,217,17529,38063,1186,743,1121,17529,6776,27266,22250,3345,13233,6776,18246,7913,43
2020-10-12,217,17939,39147,1378,585,1123,17939,5772,26490,22058,2689,12535,5772,18550,8276,197
2020-10-13,217,18405,40547,482,167,409,18405,4880,26004,22954,2378,12723,4880,19462,8927,62
2020-10-14,217,18431,41069,264,85,224,18431,4532,25996,23172,2235,12831,4532,19982,9022,31
2020-10-15,217,18371,40929,763,174,626,18371,4538,26410,22673,2187,12715,4538,20262,8903,82
2020-10-16,217,18197,40879,331,122,277,18197,4706,26228,23105,2330,12931,4706,20060,8868,23
2020-10-19,217,17727,40417,567,173,506,17727,5036,26758,22869,2480,13024,5036,20088,8582,38
2020-10-20,217,17639,40189,869,236,792,17639,5166,26970,22567,2536,12913,5166,20070,8475,47
2020-10-21,217,17573,40089,540,149,468,17573,5202,27284,22896,2553,13268,5202,20296,8529,48
2020-10-22,217,17539,40233,1033,390,961,17539,5200,27394,22403,2550,13101,5200,20546,8271,50
2020-10-23,217,17489,40229,1404,612,1307,17489,5118,27294,22032,2495,12912,5118,20444,8024,64
2020-10-26,217,17321,39983,2138,1027,2045,17321,5058,27272,21298,2466,12618,5058,20166,7525,63
2020-10-27,217,17371,39845,2208,1166,2143,17371,5546,27498,21228,2724,12803,5546,20258,7411,49
2020-10-28,217,17105,39805,1099,628,1064,17105,5514,27470,22337,2736,13311,5514,20192,7816,21
2020-10-29,217,16873,39959,2402,1292,2269,16873,5420,27912,21034,2628,12947,5420,20804,7036,82
2020-10-30,217,16351,39747,1561,856,1464,16351,5418,28296,21875,2668,13521,5418,20960,7211,41
2020-11-02,217,15467,39099,2157,1178,2085,15467,5864,28996,21279,2896,13686,5864,21010,6447,36
2020-11-03,217,15023,37781,1945,1022,1831,15023,6686,29578,21491,3274,13996,6686,20284,6381,69
2020-11-04,217,14967,36897,1272,779,1237,14967,7316,29634,22164,3639,14401,7316,19452,6596,19
2020-11-05,217,15155,36493,1050,440,868,15155,7788,29382,22386,3775,14110,7788,18848,7029,119
2020-11-06,217,15501,37149,794,188,490,15501,7442,29058,22642,3480,13936,7442,19130,7454,241
2020-11-09,217,15629,38325,1482,360,1149,15629,6820,29252,21954,3173,13585,6820,20490,7346,237
2020-11-10,217,15635,38705,287,95,226,15635,6568,29550,23149,3238,14600,6568,21166,7614,46
2020-11-11,217,15479,38211,522,137,397,15479,6850,29578,22914,3329,14426,6850,20702,7494,96
